neighborhood,median_income
Rainier Valley,70098
Orillia,62782
Delridge,64829
Northgate,72154
Industrial District,86661
Foster,52298
Lake City,85055
Ballard,93255
Capitol Hill,100145
Magnolia,108518
Central Area,96733
Queen Anne,97017
Allentown,56620
Georgetown,61161
Lawton Park,101750
North Admiral,95183
University District (U District),51302
Downtown,60727
Mid Beacon Hill,66461
North Beacon Hill,54056
Broadview,87127
Green Lake,102667
Haller Lake,59060
Seward Park,91682
Wallingford,87652
Greenwood,85155
Fauntleroy,96276
Highland Park,54037
Interbay,92254
South Beacon Hill,64869
Ravenna,108089
Ranier Beach,62141
Columbia City,61771
Maple Leaf,84961
South Park,44529
North Beach (Blue Ridge),104115
Cascade,91830
Riverview,69872
Matthews Beach,105605
Wedgwood,107846
Broadway,81163
Madison Park,157037
Duwamish,54037
Pinehurst,61582
North Queen Anne,105845
Mount Baker,91830
North Delridge,74591
Sunset Hill,96368
Arbor Heights,95827
Briarcliff,144871
Windermere,137494
Bitter Lake,51726
Fremont,82855
Seaview,93162
Stevens,110895
Olympic Hills,65198
Adams,84991
View Ridge,122454
Woodland Park,96354
Laurelhurst (Sandpoint),138038
West Woodland,95334
Alki,101227
Phinney Ridge,95706
High Point,77421
North College Park,82921
Sand Point,133897
Victory Heights,68265
Loyal Heights,93168
Gatewood,96778
Genesee,83940
Montlake,120355
Atlantic,55019
Roosevelt,94606
Cedar Park,76755
Leschi,122259
Dunlap,48893
Ranier View,66773
Lakeridge,82261
South Lake Union,89245
Brighton,59838
Southeast Magnolia,112889
East Queen Anne,111117
Roxhill,75769
Minor,68920
South Delridge,69028
West Queen Anne,124324
Harbor Island,71758
Lower Queen Anne,83881
Meadowbrook,93333
Crown Hill,94677
Skyway (Ranier Beach),63613
Bryn Mawr,72275
Bryant,121876
Madrona,144083
Harrison (Denny Blane),174126
Belltown (Denny Triangle),82054
Whittier Heights,88990
Fairmount Park,83638
Riverton,50911
Mann,98639
First Hill,50155
Eastlake,85974
CBD,75090
SoDo,55632
Chinatown,34586
Yesler Terrace,36318
Portage Bay,97800
Westlake,97723
Pike Place,84264